Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-04-16T14:37:00.836Z,"""","""",""Free"",""auto"",""No"",""0"",""19192"",""239744"",""3572"",""262508"",""Free"""
"2026-04-16T14:33:55.911Z,"""","""",""Free"",""auto"",""No"",""0"",""3815"",""423808"",""1162"",""428785"",""Free"""
"2026-04-16T14:33:10.255Z,"""","""",""Free"",""auto"",""No"",""0"",""582"",""83328"",""463"",""84373"",""Free"""
"2026-04-16T14:32:38.477Z,"""","""",""Free"",""auto"",""No"",""0"",""181"",""83328"",""448"",""83957"",""Free"""
"2026-04-16T14:32:16.461Z,"""","""",""Free"",""auto"",""No"",""0"",""573"",""82688"",""166"",""83427"",""Free"""
"2026-04-16T14:31:12.300Z,"""","""",""Free"",""auto"",""No"",""0"",""4398"",""78464"",""463"",""83325"",""Free"""
"2026-04-16T14:30:08.195Z,"""","""",""Free"",""auto"",""No"",""0"",""7847"",""316160"",""904"",""324911"",""Free"""
"2026-04-16T14:29:03.010Z,"""","""",""Free"",""auto"",""No"",""0"",""9645"",""28544"",""595"",""38784"",""Free"""
"2026-04-16T14:27:44.267Z,"""","""",""Free"",""auto"",""No"",""0"",""1259"",""76928"",""402"",""78589"",""Free"""
"2026-04-16T14:25:16.962Z,"""","""",""Free"",""auto"",""No"",""0"",""1539"",""463872"",""742"",""466153"",""Free"""
"2026-04-16T14:21:33.164Z,"""","""",""Free"",""auto"",""No"",""0"",""494"",""76288"",""315"",""77097"",""Free"""
"2026-04-16T14:20:54.538Z,"""","""",""Free"",""auto"",""No"",""0"",""65675"",""10752"",""493"",""76920"",""Free"""
"2026-04-16T14:18:18.427Z,"""","""",""Free"",""auto"",""No"",""0"",""96191"",""946176"",""5867"",""1048234"",""Free"""
"2026-04-16T14:15:48.283Z,"""","""",""Free"",""auto"",""No"",""0"",""12734"",""271360"",""1191"",""285285"",""Free"""
"2026-04-16T14:14:13.958Z,"""","""",""Free"",""auto"",""No"",""0"",""239725"",""412416"",""1033"",""653174"",""Free"""
"2026-04-16T14:13:15.329Z,"""","""",""Free"",""auto"",""No"",""0"",""52510"",""623744"",""5145"",""681399"",""Free"""
"2026-04-16T14:10:28.208Z,"""","""",""Free"",""auto"",""No"",""0"",""118076"",""138624"",""831"",""257531"",""Free"""
"2026-04-16T14:08:56.484Z,"""","""",""Free"",""auto"",""No"",""0"",""86801"",""134912"",""2867"",""224580"",""Free"""
"2026-04-16T14:06:41.891Z,"""","""",""Free"",""auto"",""No"",""0"",""13179"",""128384"",""1035"",""142598"",""Free"""
"2026-04-16T14:01:48.809Z,"""","""",""Free"",""auto"",""No"",""0"",""6162"",""34944"",""600"",""41706"",""Free"""
"2026-04-16T14:00:32.784Z,"""","""",""Free"",""auto"",""No"",""0"",""13437"",""31232"",""585"",""45254"",""Free"""
"2026-04-16T13:55:34.979Z,"""","""",""Free"",""auto"",""No"",""0"",""39345"",""189440"",""1915"",""230700"",""Free"""
"2026-04-16T13:54:49.772Z,"""","""",""Free"",""auto"",""No"",""0"",""10855"",""19968"",""419"",""31242"",""Free"""
"2026-04-16T13:53:57.929Z,"""","""",""Free"",""auto"",""No"",""0"",""15086"",""34944"",""1449"",""51479"",""Free"""
"2026-04-16T13:53:50.645Z,"""","""",""Errored, No Charge"",""auto"",""No"",""0"",""0"",""0"",""0"",""0"",""Free"""
"2026-04-16T13:46:04.027Z,"""","""",""Free"",""auto"",""No"",""0"",""264935"",""2468352"",""10098"",""2743385"",""Free"""
"2026-04-16T13:37:17.298Z,"""","""",""Free"",""auto"",""No"",""0"",""8512"",""435200"",""453"",""444165"",""Free"""
"2026-04-16T13:24:23.650Z,"""","""",""Free"",""auto"",""No"",""0"",""876061"",""5276672"",""8824"",""6161557"",""Free"""
